LacunaUrn,imageReference,Heiberg
urn:cite:ap:lacunae.023,"urn:cite:ecod:codbod8.cb-0008_023v@0.4004,0.2858,0.5125,0.0293",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.8@ἔσται
urn:cite:ap:lacunae.032,"urn:cite:ecod:codbod8.cb-0008_026v@0.3964,0.4539,0.5445,0.033",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.11@ἴσοι
urn:cite:ap:lacunae.001,"urn:cite:ecod:codbod8.cb-0008_002r@0.1181,0.1365,0.5325,0.0698",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.preface@ἀποστέλλομέν
urn:cite:ap:lacunae.012,"urn:cite:ecod:codbod8.cb-0008_012r@0.2412,0.1808,0.3333,0.0323",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.13@ἔσται
urn:cite:ap:lacunae.015,"urn:cite:ecod:codbod8.cb-0008_016v@0.3744,0.3653,0.5646,0.0308",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.15@ἔσται
urn:cite:ap:lacunae.018,"urn:cite:ecod:codbod8.cb-0008_020v@0.3994,0.2003,0.5195,0.0323",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.4@ἔσται
urn:cite:ap:lacunae.025,"urn:cite:ecod:codbod8.cb-0008_024v@0.4054,0.7104,0.5626,0.0308",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.9@ἔσται
urn:cite:ap:lacunae.034,"urn:cite:ecod:codbod8.cb-0008_027v@0.3984,0.7532,0.5225,0.0383",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.lemmata.13@ἔσται
urn:cite:ap:lacunae.002,"urn:cite:ecod:codbod8.cb-0008_002r@0.1021,0.6497,0.5465,0.0458",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.definitions.5@α δὲ στερεὸν καλῶ
urn:cite:ap:lacunae.006,"urn:cite:ecod:codbod8.cb-0008_006r@0.1221,0.6054,0.5315,0.0698",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@ἔσται
urn:cite:ap:lacunae.007,"urn:cite:ecod:codbod8.cb-0008_007v@0.6777,0.6699,0.2212,0.0255",urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.10@ἔσται
