Folio	Quire	SmoothHairy	urn:cite:hmt:msA.BifolioWith	ReplacementPage
urn:cite:hmt:msA.12r	1	smooth	urn:cite:hmt:msA.19v	no
urn:cite:hmt:msA.12v	1	hairy	urn:cite:hmt:msA.19r	no
urn:cite:hmt:msA.13r	1	hairy	urn:cite:hmt:msA.18v	no
urn:cite:hmt:msA.13v	1	smooth	urn:cite:hmt:msA.18r	no
urn:cite:hmt:msA.14r	1	smooth	urn:cite:hmt:msA.17v	no
urn:cite:hmt:msA.14v	1	hairy	urn:cite:hmt:msA.17r	no
urn:cite:hmt:msA.15r	1	hairy	urn:cite:hmt:msA.16v	no
urn:cite:hmt:msA.15v	1	smooth	urn:cite:hmt:msA.16r	no
urn:cite:hmt:msA.16r	1	smooth	urn:cite:hmt:msA.15v	no
urn:cite:hmt:msA.16v	1	hairy	urn:cite:hmt:msA.15r	no
urn:cite:hmt:msA.17r	1	hairy	urn:cite:hmt:msA.14v	no
urn:cite:hmt:msA.17v	1	smooth	urn:cite:hmt:msA.14r	no
urn:cite:hmt:msA.18r	1	smooth	urn:cite:hmt:msA.13v	no
urn:cite:hmt:msA.18v	1	hairy	urn:cite:hmt:msA.13r	no
urn:cite:hmt:msA.19r	1	hairy	urn:cite:hmt:msA.12v	no
urn:cite:hmt:msA.19v	1	smooth	urn:cite:hmt:msA.12r	no
urn:cite:hmt:msA.20r	2	smooth	urn:cite:hmt:msA.27v	no
urn:cite:hmt:msA.20v	2	hairy	urn:cite:hmt:msA.27r	no
urn:cite:hmt:msA.21r	2	hairy	urn:cite:hmt:msA.26v	no
urn:cite:hmt:msA.21v	2	smooth	urn:cite:hmt:msA.26r	no
urn:cite:hmt:msA.22r	2	smooth	urn:cite:hmt:msA.25v	no
urn:cite:hmt:msA.22v	2	hairy	urn:cite:hmt:msA.25r	no
urn:cite:hmt:msA.23r	2	hairy	urn:cite:hmt:msA.24v	no
urn:cite:hmt:msA.23v	2	smooth	urn:cite:hmt:msA.24r	no
urn:cite:hmt:msA.24r	2	smooth	urn:cite:hmt:msA.23v	no
urn:cite:hmt:msA.24v	2	hairy	urn:cite:hmt:msA.23r	no
urn:cite:hmt:msA.25r	2	hairy	urn:cite:hmt:msA.22v	no
urn:cite:hmt:msA.25v	2	smooth	urn:cite:hmt:msA.22r	no
urn:cite:hmt:msA.26r	2	smooth	urn:cite:hmt:msA.21v	no
urn:cite:hmt:msA.26v	2	hairy	urn:cite:hmt:msA.21r	no
urn:cite:hmt:msA.27r	2	hairy	urn:cite:hmt:msA.20v	no
urn:cite:hmt:msA.27v	2	smooth	urn:cite:hmt:msA.20r	no
urn:cite:hmt:msA.28r	3	smooth	urn:cite:hmt:msA.35v	no
urn:cite:hmt:msA.28v	3	hairy	urn:cite:hmt:msA.35r	no
urn:cite:hmt:msA.29r	3	hairy	urn:cite:hmt:msA.34v	no
urn:cite:hmt:msA.29v	3	smooth	urn:cite:hmt:msA.34r	no
urn:cite:hmt:msA.30r	3	smooth	urn:cite:hmt:msA.33v	no
urn:cite:hmt:msA.30v	3	hairy	urn:cite:hmt:msA.33r	no
urn:cite:hmt:msA.31r	3	hairy	urn:cite:hmt:msA.32v	no
urn:cite:hmt:msA.31v	3	smooth	urn:cite:hmt:msA.32r	no
urn:cite:hmt:msA.32r	3	smooth	urn:cite:hmt:msA.31v	no
urn:cite:hmt:msA.32v	3	hairy	urn:cite:hmt:msA.31r	no
urn:cite:hmt:msA.33r	3	hairy	urn:cite:hmt:msA.30v	no
urn:cite:hmt:msA.33v	3	smooth	urn:cite:hmt:msA.30r	no
urn:cite:hmt:msA.34r	3	smooth	urn:cite:hmt:msA.29v	no
urn:cite:hmt:msA.34v	3	hairy	urn:cite:hmt:msA.29r	no
urn:cite:hmt:msA.35r	3	hairy	urn:cite:hmt:msA.28v	no
urn:cite:hmt:msA.35v	3	smooth	urn:cite:hmt:msA.28r	no
urn:cite:hmt:msA.36r	4	smooth	urn:cite:hmt:msA.43v	no
urn:cite:hmt:msA.36v	4	hairy	urn:cite:hmt:msA.43r	no
urn:cite:hmt:msA.37r	4	hairy	urn:cite:hmt:msA.42v	no
urn:cite:hmt:msA.37v	4	smooth	urn:cite:hmt:msA.42r	no
urn:cite:hmt:msA.38r	4	smooth	urn:cite:hmt:msA.41v	no
urn:cite:hmt:msA.38v	4	hairy	urn:cite:hmt:msA.41r	no
urn:cite:hmt:msA.39r	4	hairy	urn:cite:hmt:msA.40v	no
urn:cite:hmt:msA.39v	4	smooth	urn:cite:hmt:msA.40r	no
urn:cite:hmt:msA.40r	4	smooth	urn:cite:hmt:msA.39v	no
urn:cite:hmt:msA.40v	4	hairy	urn:cite:hmt:msA.39r	no
urn:cite:hmt:msA.41r	4	hairy	urn:cite:hmt:msA.38v	no
urn:cite:hmt:msA.41v	4	smooth	urn:cite:hmt:msA.38r	no
urn:cite:hmt:msA.42r	4	smooth	urn:cite:hmt:msA.37v	no
urn:cite:hmt:msA.42v	4	hairy	urn:cite:hmt:msA.37r	no
urn:cite:hmt:msA.43r	4	hairy	urn:cite:hmt:msA.36v	no
urn:cite:hmt:msA.43v	4	smooth	urn:cite:hmt:msA.36r	no
urn:cite:hmt:msA.44r	5	smooth	urn:cite:hmt:msA.51v	no
urn:cite:hmt:msA.44v	5	hairy	urn:cite:hmt:msA.51r	no
urn:cite:hmt:msA.45r	5	hairy	urn:cite:hmt:msA.50v	no
urn:cite:hmt:msA.45v	5	smooth	urn:cite:hmt:msA.50r	no
urn:cite:hmt:msA.46r	5	smooth	urn:cite:hmt:msA.49v	no
urn:cite:hmt:msA.46v	5	hairy	urn:cite:hmt:msA.49r	no
urn:cite:hmt:msA.47r	5	hairy	urn:cite:hmt:msA.48v	no
urn:cite:hmt:msA.47v	5	smooth	urn:cite:hmt:msA.48r	no
urn:cite:hmt:msA.48r	5	smooth	urn:cite:hmt:msA.47v	no
urn:cite:hmt:msA.48v	5	hairy	urn:cite:hmt:msA.47r	no
urn:cite:hmt:msA.49r	5	hairy	urn:cite:hmt:msA.46v	no
urn:cite:hmt:msA.49v	5	smooth	urn:cite:hmt:msA.46r	no
urn:cite:hmt:msA.50r	5	smooth	urn:cite:hmt:msA.45v	no
urn:cite:hmt:msA.50v	5	hairy	urn:cite:hmt:msA.45r	no
urn:cite:hmt:msA.51r	5	hairy	urn:cite:hmt:msA.44v	no
urn:cite:hmt:msA.51v	5	smooth	urn:cite:hmt:msA.44r	no
urn:cite:hmt:msA.52r	6	smooth	urn:cite:hmt:msA.59v	no
