Sequence,URN,RV,Label
322,urn:cite:hmt:u4.161v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 161v"
133,urn:cite:hmt:u4.67r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 67r"
340,urn:cite:hmt:u4.170v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 170v"
23,urn:cite:hmt:u4.12r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 12r"
38,urn:cite:hmt:u4.19v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 19v"
154,urn:cite:hmt:u4.77v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 77v"
68,urn:cite:hmt:u4.34v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 34v"
378,urn:cite:hmt:u4.189v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 189v"
74,urn:cite:hmt:u4.37v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 37v"
222,urn:cite:hmt:u4.111v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 111v"
10,urn:cite:hmt:u4.5v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 5v"
54,urn:cite:hmt:u4.27v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 27v"
158,urn:cite:hmt:u4.79v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 79v"
110,urn:cite:hmt:u4.55v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 55v"
326,urn:cite:hmt:u4.163v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 163v"
355,urn:cite:hmt:u4.178r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 178r"
156,urn:cite:hmt:u4.78v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 78v"
143,urn:cite:hmt:u4.72r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 72r"
250,urn:cite:hmt:u4.125v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 125v"
338,urn:cite:hmt:u4.169v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 169v"
131,urn:cite:hmt:u4.66r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 66r"
323,urn:cite:hmt:u4.162r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 162r"
79,urn:cite:hmt:u4.40r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 40r"
118,urn:cite:hmt:u4.59v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 59v"
69,urn:cite:hmt:u4.35r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 35r"
82,urn:cite:hmt:u4.41v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 41v"
167,urn:cite:hmt:u4.84r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 84r"
227,urn:cite:hmt:u4.114r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 114r"
272,urn:cite:hmt:u4.136v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 136v"
168,urn:cite:hmt:u4.84v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 84v"
47,urn:cite:hmt:u4.24r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 24r"
63,urn:cite:hmt:u4.32r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 32r"
76,urn:cite:hmt:u4.38v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 38v"
70,urn:cite:hmt:u4.35v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 35v"
380,urn:cite:hmt:u4.190v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 190v"
146,urn:cite:hmt:u4.73v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 73v"
139,urn:cite:hmt:u4.70r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 70r"
51,urn:cite:hmt:u4.26r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 26r"
169,urn:cite:hmt:u4.85r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 85r"
32,urn:cite:hmt:u4.16v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 16v"
