State,"Population, 2000 census",Date of statehood,Capital city,Location of Capital,StateURN
Alabama,4447100,"Dec 14, 1819",Montgomery,"32.354, -86.284",urn:cite:usstates:state.Alabama
North Dakota,642200,"November 2, 1889",Bismarck,"46.805, -100.767",urn:cite:usstates:state.North Dakota
Arizona,5130632,"February 14, 1912",Phoenix,"33.542, -112.071",urn:cite:usstates:state.Arizona
Connecticut,3405565,"January 9, 1788",Hartford,"41.765, -72.683",urn:cite:usstates:state.Connecticut
Hawaii,1211537,"August 21, 1959",Honolulu,"21.318, -157.922",urn:cite:usstates:state.Hawaii
Iowa,2926324,"December 28, 1846",Des Moines,"41.576, -93.617",urn:cite:usstates:state.Iowa
Maine,1274923,"March 15, 1820",Augusta,"44.330, -69.729",urn:cite:usstates:state.Maine
Minnesota,4919479,"May 11, 1858",Saint Paul,"44.839, -92.994",urn:cite:usstates:state.Minnesota
Nebraska,1711263,"March 1, 1867",Lincoln,"40.816, -96.688",urn:cite:usstates:state.Nebraska
New Mexico,1819046,"January 6, 1912",Santa Fe,"35.678, -105.954",urn:cite:usstates:state.New Mexico
Oklahoma,3450654,"November 16, 1907",Oklahoma City,"35.467, -97.513",urn:cite:usstates:state.Oklahoma
South Carolina,4012012,"May 23, 1788",Columbus,"34.039, -80.886",urn:cite:usstates:state.South Carolina
Utah,2233169,"January 4, 1896",Salt Lake City,"40.777, -111.929",urn:cite:usstates:state.Utah
Virginia,7078515,"June 25, 1788",Richmond,"37.531, -77.474",urn:cite:usstates:state.Virginia
Vermont,608827,"March 4, 1791",Montpelier,"44.266, -72.571",urn:cite:usstates:state.Vermont
Colorado,4301261,"August 1, 1876",Denver,"39.768, -104.872",urn:cite:usstates:state.Colorado
Georgia,8186453,"January 2, 1788",Atlanta,"33.762, -84.422",urn:cite:usstates:state.Georgia
Indiana,6080485,"December 11, 1816",Indianapolis,"39.776, -86.146",urn:cite:usstates:state.Indiana
Louisiana,4468976,"April 30, 1812",Baton Rouge,"30.448, -91.126",urn:cite:usstates:state.Louisiana
Michigan,9938444,"January 26, 1837",Lansing,"42.709, -84.553",urn:cite:usstates:state.Michigan
Montana,902195,"November 8, 1889",Helena,"46.596, -112.020",urn:cite:usstates:state.Montana
New Jersey,8414350,"December 18, 1787",Trenton,"40.223, -74.764",urn:cite:usstates:state.New Jersey
Ohio,11353140,"March 1, 1803",Columbus,"39.988, -82.987",urn:cite:usstates:state.Ohio
Rhode Island,1048319,"May 29, 1790",Providence,"41.821, -71.419",urn:cite:usstates:state.Rhode Island
Texas,20851820,"December 29, 1845",Austin,"30.305, -97.750",urn:cite:usstates:state.Texas
Wisconsin,5363675,"May 29, 1848",Madison,"43.044, -89.409",urn:cite:usstates:state.Wisconsin
Wyoming,493782,"July 10, 1890",Cheyenne,"41.145N, -104.792",urn:cite:usstates:state.Wyoming
California,33871648,"September 9, 1850",Sacramento,"38.546, -121.426",urn:cite:usstates:state.California
Florida,15982378,"March 3, 1845",Tallahassee,"30.457, -84.281",urn:cite:usstates:state.Florida
Illinois,12419293,"December 3, 1818",Springfield,"39.781, -89.644",urn:cite:usstates:state.Illinois
Kentucky,4041769,"June 1, 1792",Frankfort,"38.190, -84.865",urn:cite:usstates:state.Kentucky
Massachusetts,6349097,"February 6, 1788",Boston,"42.336, -71.017",urn:cite:usstates:state.Massachusetts
Missouri,5595211,"August 10, 1821",Jefferson City,"38.571, -92.190",urn:cite:usstates:state.Missouri
New Hampshire,1235786,"June 21, 1788",Concord,"43.231, -71.560",urn:cite:usstates:state.New Hampshire
North Carolina,8049313,"November 21, 1789",Raleigh,"35.821, -78.658",urn:cite:usstates:state.North Carolina
Pennsylvania,12281054,"December 12, 1787",Harrisburg,"40.276, -76.884",urn:cite:usstates:state.Pennsylvania
Tennessee,5689283,"June 1, 1796",Nashville,"36.171, -86.784",urn:cite:usstates:state.Tennessee
West Virginia,1808344,"June 20, 1863",Charleston,"38.350, -81.630",urn:cite:usstates:state.West Virginia
Alaska,626932,"January 3, 1959",Juneau,"58.388, -134.133",urn:cite:usstates:state.Alaska
Arkansas,2673400,"June 15, 1836",Little Rock,"34.722, -92.354",urn:cite:usstates:state.Arkansas
Delaware,783600,"December 7, 1787",Dover,"39.158, -75.517",urn:cite:usstates:state.Delaware
Idaho,1293953,"July 3, 1890",Boise,"43.606, -116.226",urn:cite:usstates:state.Idaho
Kansas,2688418,"January 29, 1861",Topeka,"39.037, -95.691",urn:cite:usstates:state.Kansas
Maryland,5296486,"April 28, 1788",Annapolis,"38.971, -76.503",urn:cite:usstates:state.Maryland
Mississipi,2844658,"December 10, 1817",Jackson,"32.320, -90.207",urn:cite:usstates:state.Mississipi
Nevada,1998257,"October 31, 1864",Carson City,"39.148, -119.743",urn:cite:usstates:state.Nevada
New York,18976457,"July 26, 1788",Albany,"42.665, -73.799",urn:cite:usstates:state.New York
Oregon,3421399,"February 14, 1859",Salem,"44.924, -123.022",urn:cite:usstates:state.Oregon
South Dakota,754844,"November 2, 1889",Pierre,"44.372, -100.322",urn:cite:usstates:state.South Dakota
Washington,5894121,"November 11, 1889",Olympia,"47.041, -122.893",urn:cite:usstates:state.Washington
