Urn	VisualExample	Description
urn:cite:hmt:dingbats.1	urn:cite:hmt:chsimg.VB019RN-0463:0.8525,0.3008,0.026,0.021	Symbol for Sun. Unicode codepoint x2609☉.
urn:cite:hmt:dingbats.2	urn:cite:hmt:chsimg.VB019RN-0463:0.103,0.6827,0.0345,0.0135	sideways psi.  In this illustration of the sign marking a note, followed by a diamond of four dots, but the corresponding marker in text lacks the diamond of dots.
urn:cite:hmt:dingbats.3	urn:cite:hmt:chsimg.VB020VN-0121:0.1638,0.7996,0.025,0.0178	Symbol for Gemini.  Unicode codepoint x264A ♊.
urn:cite:hmt:dingbats.4	urn:cite:hmt:chsimg.VB020VN-0121:0.4156,0.8522,0.02,0.0164	Abbreviation for ὅτι.
urn:cite:hmt:dingbats.5	urn:cite:hmt:chsimg.VB021RN-0465:0.0731,0.0859,0.0325,0.0216	back to back psi with 2 dots
urn:cite:hmt:dingbats.6	urn:cite:hmt:chsimg.VB021RN-0465:0.7969,0.4955,0.02,0.0122	Variation on abbreviation for αρ with two dots?
urn:cite:hmt:dingbats.7	urn:cite:hmt:chsimg.VB021RN-0465:0.7931,0.6129,0.025,0.0145	Variation on critical sign diple with following single dot?
urn:cite:hmt:dingbats.8	urn:cite:hmt:chsimg.VB021RN-0465:0.0931,0.8451,0.0256,0.0221	cross with 4 dots
urn:cite:hmt:dingbats.9	urn:cite:hmt:chsimg.VB021RN-0465:0.2956,0.871,0.0238,0.0216	abbreviation? double curve, similar to abbreviation for γράφεται
urn:cite:hmt:dingbats.10	urn:cite:hmt:chsimg.VB022VN-0123:0.1025,0.3177,0.0263,0.0122	Critical sign: dotted diple. Unicode codepoint x2E16 ⸖ for dotted right triangle.
urn:cite:hmt:dingbats.11	urn:cite:hmt:chsimg.VB022VN-0123:0.1119,0.5678,0.0163,0.0192	Symbol for Moon.  Unicode code point for crescent moon x263E ☾.
urn:cite:hmt:dingbats.12	urn:cite:hmt:chsimg.VB022VN-0123:0.1113,0.7086,0.0206,0.0239	Variation on symbol for Libra with two dots?  semicircle or spread omega with 2 dots
urn:cite:hmt:dingbats.13	urn:cite:hmt:chsimg.VB023RN-0467:0.0862,0.1028,0.0244,0.0174	abbreviaton? bar and hook
urn:cite:hmt:dingbats.14	urn:cite:hmt:chsimg.VB023RN-0467:0.6413,0.8001,0.0213,0.015	chain link
urn:cite:hmt:dingbats.15	urn:cite:hmt:chsimg.VB024RN-0468:0.2719,0.107,0.0175,0.0122	back to back semicircles with 4 dots
urn:cite:hmt:dingbats.16	urn:cite:hmt:chsimg.VB024VN-0124:0.6363,0.2407,0.0119,0.0103	Symbol for Pisces.  Unicode codepoint x2653 ♓.
urn:cite:hmt:dingbats.17	urn:cite:hmt:chsimg.VB024VN-0124:0.3969,0.2628,0.0175,0.0094	Variation on symbol for Libra? Spread omega with descending hooks
urn:cite:hmt:dingbats.18	urn:cite:hmt:chsimg.VB024VN-0124:0.1046,0.3484,0.0192,0.0173	Abbreviation for εἶναι.
urn:cite:hmt:dingbats.19	urn:cite:hmt:chsimg.VB024VN-0124:0.1731,0.576,0.0246,0.0208	hairpin with 1 dot
urn:cite:hmt:dingbats.20	urn:cite:hmt:chsimg.VB024VN-0124:0.4254,0.6869,0.02,0.0156	Abbreviation for αρ.
urn:cite:hmt:dingbats.21	urn:cite:hmt:chsimg.VB025RN-0469:0.3725,0.2511,0.0188,0.0103	Symbol for Virgo Unicode codepoint x264D ♍ or Scorpius Unicode code point x264F ♏?
urn:cite:hmt:dingbats.22	urn:cite:hmt:chsimg.VB025RN-0469:0.8156,0.5007,0.0269,0.0141	squiggle bracketed by vertically stacked pair of dots
urn:cite:hmt:dingbats.23	urn:cite:hmt:chsimg.VB025RN-0469:0.3519,0.7832,0.025,0.0127	wavy line with two dots above
urn:cite:hmt:dingbats.24	urn:cite:hmt:chsimg.VB026RN-0470:0.4375,0.8489,0.0194,0.0141	chain link with 2 dots
urn:cite:hmt:dingbats.25	urn:cite:hmt:chsimg.VB027VN-0127:0.1188,0.1624,0.0144,0.0164	Symbol for female. Unicode codepoint x2640 ♀.
urn:cite:hmt:dingbats.26	urn:cite:hmt:chsimg.VB029RN-0473:0.3475,0.2206,0.0219,0.0099	Symbol for Libra? Unicode codepoint x264E ♎.
urn:cite:hmt:dingbats.27	urn:cite:hmt:chsimg.VB029RN-0473:0.0444,0.6635,0.0275,0.023	Symbol for Cancer? Unicode codepoint x264B ♋.
urn:cite:hmt:dingbats.28	urn:cite:hmt:chsimg.VB029RN-0473:0.3756,0.855,0.0238,0.0192	hairpin
urn:cite:hmt:dingbats.29	urn:cite:hmt:chsimg.VB030RN-0474:0.0406,0.0878,0.0263,0.0188	Symbol for Aquarius. Unicode codepoint x2652 ♒.
urn:cite:hmt:dingbats.30	urn:cite:hmt:chsimg.VB030RN-0474:0.0513,0.2267,0.0225,0.0131	Variation on symbol for Cancer with dot?
urn:cite:hmt:dingbats.31	urn:cite:hmt:chsimg.VB030VN-0130:0.12,0.4348,0.0235,0.0169	Symbol for Sagittarius.  Unicode codepoint x2650 ♐.
urn:cite:hmt:dingbats.32	urn:cite:hmt:chsimg.VB030VN-0130:0.1435,0.1097,0.019,0.0146	Symbol for Leo.  Unicode codepoint x264C ♌.
