Urn	VisualExample	Description
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB019RN-0463:0.8525,0.3008,0.026,0.021	dunce cap
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB019RN-0463:0.103,0.6827,0.0345,0.0135	sideways psi plus diamond
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB019RN-0463:0.12,0.4303,0.0355,0.0203	starburst
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB019VN-0120:0.1056,0.4782,0.0288,0.0211	unclear symbol
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB019VN-0120:0.1938,0.588,0.0206,0.0145	asterisk
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB020VN-0121:0.1638,0.7996,0.025,0.0178	gemini
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB020VN-0121:0.4156,0.8522,0.02,0.0164	oti
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB021RN-0465:0.0731,0.0859,0.0325,0.0216	back to back psi with 2 dots
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB021RN-0465:0.7969,0.4955,0.02,0.0122	snail with 2 dots
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB021RN-0465:0.7931,0.6129,0.025,0.0145	diple with dot
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB021RN-0465:0.0931,0.8451,0.0256,0.0221	cross with 4 dots
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB021RN-0465:0.2956,0.871,0.0238,0.0216	double curve
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB022VN-0123:0.1025,0.3177,0.0263,0.0122	diple periestigmene
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB022VN-0123:0.1119,0.5678,0.0163,0.0192	crescent moon
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB022VN-0123:0.1113,0.7086,0.0206,0.0239	semicircle with 2 dots
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB023RN-0467:0.0862,0.1028,0.0244,0.0174	bar and hook
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB023RN-0467:0.6413,0.8001,0.0213,0.015	chain link
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB024RN-0468:0.2719,0.107,0.0175,0.0122	back to back semicircles with 4 dots
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB024VN-0124:0.6363,0.2407,0.0119,0.0103	left-tilted H
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB024VN-0124:0.3969,0.2628,0.0175,0.0094	tiara
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB024VN-0124:0.1046,0.3484,0.0192,0.0173	goatee face
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB024VN-0124:0.1731,0.576,0.0246,0.0208	curved carrot with 1 dot
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB024VN-0124:0.4254,0.6869,0.02,0.0156	upside down snail
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB025RN-0469:0.3725,0.2511,0.0188,0.0103	taurus
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB025RN-0469:0.8156,0.5007,0.0269,0.0141	squiggle with dots
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB025RN-0469:0.3519,0.7832,0.025,0.0127	angry face
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB025VN-0125:0.095,0.1506,0.0256,0.0174	dunce cap plus four dot diamond
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB026RN-0470:0.4375,0.8489,0.0194,0.0141	chain link with 2 dots
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB027VN-0127:0.1188,0.1624,0.0144,0.0164	woman symbol
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB029RN-0473:0.3475,0.2206,0.0219,0.0099	horseshoe
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB029RN-0473:0.0444,0.6635,0.0275,0.023	glasses
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB029RN-0473:0.3756,0.855,0.0238,0.0192	open rectangle
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB030RN-0474:0.0406,0.0878,0.0263,0.0188	double squiggle
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB030RN-0474:0.0513,0.2267,0.0225,0.0131	glasses with dot
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB030VN-0130:0.12,0.4348,0.0235,0.0169	bow and arrow
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB030VN-0130:0.1435,0.1097,0.019,0.0146	curlicue
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB033RN-0477:0.075,0.8362,0.0881,0.0563	quire mark
urn:cite:hmt:dingbats.	urn:cite:hmt:chsimg.VB037RN-0481:0.6944,0.6776,0.0181,0.0103	division
