Siglum	Sequence	URN	RV	Label	CodexURN
venetusA.tsv:kalavrezou	1	urn:cite:hmt:msAkalavrezou.9r	recto	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 9r	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	4	urn:cite:hmt:msAkalavrezou.1v	verso	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 1v	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	6	urn:cite:hmt:msAkalavrezou.2v	verso	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 2v	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	11	urn:cite:hmt:msAkalavrezou.4r	recto	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 4r	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	12	urn:cite:hmt:msAkalavrezou.4v	verso	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 4v	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	2	urn:cite:hmt:msAkalavrezou.9v	verso	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 9v	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	5	urn:cite:hmt:msAkalavrezou.2r	recto	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 2r	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	8	urn:cite:hmt:msAkalavrezou.3v	verso	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 3v	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	3	urn:cite:hmt:msAkalavrezou.1r	recto	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 1r	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	7	urn:cite:hmt:msAkalavrezou.3r	recto	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 3r	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	9	urn:cite:hmt:msAkalavrezou.6r	recto	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 6r	urn:cite:hmt:codex.kalavrezou
venetusA.tsv:kalavrezou	10	urn:cite:hmt:msAkalavrezou.6v	verso	Reconstruction of the original 10th-century form of the Venetus A manuscript proposed by Ioli Kalavrezou, folio 6v	urn:cite:hmt:codex.kalavrezou
